time,"Appennino emiliano, area Monte Cimone_NORD",Crinale savonese entroterra ligure_NORD,"Piemonte sud-occidentale , Cuneese_NORD","Valle d’Aosta , area alpina_NORD","Veneto orientale , Delta del Po_NORD","Basilicata, area Melfi,Potenza_SUD","Calabria, area Crotone,Catanzaro_SUD","Campania, area Benevento,Avellino_SUD","Puglia, area Foggia,Daunia_SUD","Sicilia occidentale, area Trapani_SUD"
2019-01-01 00:00:00,0.12,0.149,0.034,0.034,0.034,0.617,0.861,0.665,0.66,0.608
2019-01-01 01:00:00,0.109,0.122,0.034,0.034,0.034,0.595,0.883,0.63,0.656,0.693
2019-01-01 02:00:00,0.096,0.098,0.033,0.033,0.033,0.611,0.881,0.601,0.67,0.787
2019-01-01 03:00:00,0.086,0.087,0.033,0.033,0.033,0.608,0.877,0.589,0.673,0.848
2019-01-01 04:00:00,0.08,0.085,0.033,0.033,0.033,0.62,0.875,0.603,0.677,0.855
2019-01-01 05:00:00,0.073,0.078,0.029,0.029,0.029,0.61,0.87,0.618,0.668,0.85
2019-01-01 06:00:00,0.065,0.066,0.024,0.024,0.024,0.599,0.873,0.61,0.651,0.831
2019-01-01 07:00:00,0.052,0.047,0.021,0.021,0.021,0.508,0.865,0.541,0.562,0.79
2019-01-01 08:00:00,0.02,0.017,0.015,0.015,0.015,0.453,0.848,0.517,0.467,0.736
2019-01-01 09:00:00,0.007,0.008,0.005,0.005,0.005,0.564,0.838,0.621,0.471,0.707
2019-01-01 10:00:00,0.001,0.005,0.002,0.002,0.002,0.505,0.818,0.563,0.399,0.679
2019-01-01 11:00:00,0.001,0.002,0.003,0.003,0.003,0.442,0.803,0.478,0.353,0.633
2019-01-01 12:00:00,0.003,0.001,0.004,0.004,0.004,0.4,0.801,0.404,0.345,0.582
2019-01-01 13:00:00,0.007,0.001,0.004,0.004,0.004,0.37,0.798,0.34,0.341,0.542
2019-01-01 14:00:00,0.012,0.001,0.004,0.004,0.004,0.303,0.818,0.262,0.322,0.515
2019-01-01 15:00:00,0.019,0.011,0.01,0.01,0.01,0.265,0.807,0.212,0.335,0.486
2019-01-01 16:00:00,0.036,0.039,0.019,0.019,0.019,0.219,0.784,0.151,0.335,0.438
2019-01-01 17:00:00,0.061,0.064,0.028,0.028,0.028,0.191,0.739,0.096,0.329,0.37
2019-01-01 18:00:00,0.083,0.065,0.021,0.021,0.021,0.183,0.688,0.058,0.336,0.306
2019-01-01 19:00:00,0.102,0.051,0.015,0.015,0.015,0.185,0.651,0.04,0.348,0.249
2019-01-01 20:00:00,0.121,0.037,0.014,0.014,0.014,0.204,0.632,0.03,0.35,0.211
2019-01-01 21:00:00,0.154,0.038,0.021,0.021,0.021,0.22,0.619,0.02,0.353,0.203
2019-01-01 22:00:00,0.175,0.041,0.03,0.03,0.03,0.233,0.605,0.012,0.346,0.197
