time,"Emilia-Romagna orientale, area Ferrara,pianura_NORD","Friuli-Venezia Giulia, area Udine_NORD","Lombardia orientale, area Brescia_NORD","Piemonte meridionale, area Cuneo_NORD","Veneto centrale, area Padova_NORD","Campania interna, area Benevento_SUD","Lazio meridionale, area Latina_SUD","Puglia, area Lecce_SUD","Sardegna, area Oristano,Campidano_SUD","Sicilia interna, area Caltanissetta,Enna_SUD"
2023-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.68,0.0,0.0,0.0,0.0,18.92,123.02,250.19,37.84,20.36
2023-01-01 08:00:00,105.96,86.16,210.1,40.78,18.94,308.0,373.76,470.03,347.55,455.74
2023-01-01 09:00:00,476.41,77.96,87.74,71.43,251.28,387.96,541.67,613.87,526.9,591.72
2023-01-01 10:00:00,556.08,34.27,159.16,118.11,307.3,554.75,635.95,556.61,632.5,672.96
2023-01-01 11:00:00,456.89,43.84,233.81,89.47,294.28,659.73,664.16,626.22,669.63,701.29
2023-01-01 12:00:00,249.53,44.56,76.93,112.58,477.29,630.31,529.17,522.25,644.54,668.32
2023-01-01 13:00:00,306.6,38.62,219.56,123.69,503.32,530.96,537.14,518.33,575.42,565.11
2023-01-01 14:00:00,38.39,61.51,90.52,61.36,208.24,366.46,388.94,316.77,448.54,405.91
2023-01-01 15:00:00,17.33,0.0,49.07,23.38,16.0,118.83,113.82,1.05,175.55,173.17
2023-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,0.29,0.0,0.0,0.0,0.1,19.58,33.17,219.85,43.6,20.29
2023-01-02 08:00:00,82.98,65.68,50.32,15.51,107.06,229.81,82.58,435.25,340.27,460.66
2023-01-02 09:00:00,71.16,50.86,61.7,107.4,69.7,340.44,99.54,560.54,526.24,605.54
2023-01-02 10:00:00,123.36,36.57,49.76,239.66,67.39,351.59,146.25,685.03,647.28,679.55
2023-01-02 11:00:00,129.49,51.51,43.63,289.25,90.14,637.55,186.25,702.08,710.17,703.36
2023-01-02 12:00:00,68.73,36.49,60.08,516.28,59.56,645.34,141.37,588.4,684.72,599.3
2023-01-02 13:00:00,51.05,30.65,45.68,423.35,34.08,543.62,96.15,282.6,606.32,546.09
2023-01-02 14:00:00,20.59,7.21,37.06,185.78,21.99,373.06,123.4,145.68,468.08,340.91
2023-01-02 15:00:00,0.26,0.0,4.88,108.78,0.0,131.37,47.1,0.0,189.44,193.81
2023-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,18.14,17.45,63.78,13.89,19.64
2023-01-03 08:00:00,74.56,49.17,1.91,49.48,2.39,158.19,62.23,214.38,349.49,454.61
2023-01-03 09:00:00,12.25,71.85,35.03,228.27,33.63,236.06,30.33,517.59,487.26,591.86
2023-01-03 10:00:00,94.11,261.4,86.69,237.62,81.75,162.54,93.45,315.62,520.98,669.35
2023-01-03 11:00:00,41.72,157.52,114.58,507.32,166.09,357.43,75.4,497.8,676.22,684.62
2023-01-03 12:00:00,83.81,159.98,46.66,544.15,212.49,619.24,265.71,201.92,653.52,632.34
2023-01-03 13:00:00,52.7,176.97,61.4,570.26,305.48,534.11,204.38,218.7,593.78,567.66
2023-01-03 14:00:00,13.95,143.65,26.2,307.24,97.55,391.8,145.25,100.78,485.61,422.77
2023-01-03 15:00:00,23.93,0.0,94.99,143.53,3.31,86.93,24.87,0.0,180.59,185.62
2023-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 07:00:00,0.0,0.0,0.0,0.0,0.45,18.8,73.77,67.04,37.41,25.14
2023-01-04 08:00:00,82.81,46.64,22.96,356.19,305.76,305.72,326.75,125.21,372.92,402.92
2023-01-04 09:00:00,158.21,91.33,52.88,534.46,496.98,377.43,536.82,155.33,493.45,602.74
2023-01-04 10:00:00,133.07,152.92,54.94,655.04,615.51,551.25,624.23,180.45,621.58,686.33
2023-01-04 11:00:00,116.56,301.21,51.72,713.0,664.04,673.88,670.05,322.19,674.37,700.88
2023-01-04 12:00:00,69.52,624.51,50.06,695.04,616.18,648.22,651.45,635.96,657.15,673.09
2023-01-04 13:00:00,70.79,480.42,41.86,608.89,548.91,498.02,582.02,533.68,594.31,582.65
2023-01-04 14:00:00,45.47,325.51,89.27,447.68,352.25,356.88,403.03,331.85,464.13,421.44
2023-01-04 15:00:00,4.9,1.02,23.83,162.24,49.65,59.11,162.76,65.03,187.46,192.46
2023-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
